GeneID,meanExpr,log2FC,log2FC SE,p-value,adjpvalue
346606,6.44546490931517,0.676340684056481,0.172840966750772,0.000973602511354276,0.0883910456989692
5909,9.47994427364216,-0.64731720183533,0.165654715273676,0.000983926872687044,0.0886512072252424
140456,5.09267717891727,0.48252751676404,0.123600956081434,0.000991027710011309,0.0886512072252424
154043,8.62496159603461,-0.540779870341018,0.13856307885785,0.00099322464406574,0.0886512072252424
3903,6.45837710218271,0.671654557698038,0.172147111321506,0.000995417415072618,0.0886512072252424
9493,10.6163219887605,-0.79020064457241,0.202602240080219,0.000998071394338191,0.0886512072252424
3561,7.87165520625253,0.639278507033445,0.164057108416152,0.00100500276868882,0.0888820983101605
64135,6.38544676235074,0.70181106435567,0.180433748059389,0.00101893386422743,0.0893725751714138
2099,6.82786706378445,0.733380104111618,0.188558075628868,0.00101926028804517,0.0893725751714138
4210,7.10029071145881,0.498536625774374,0.128311538341111,0.00102729655889598,0.0895993587867102
113622,8.82847125571074,-0.600248037055692,0.15455512908581,0.00103058040128977,0.0895993587867102
3782,6.98567506819059,0.556512526478501,0.143496076818989,0.00104157690043431,0.0898678045879844
84532,8.17688136783378,-0.517214047507935,0.133377492501725,0.0010424279896647,0.0898678045879844
254773,6.24191742399959,0.586468731020294,0.151416291519811,0.00105177384434151,0.0902941244276116
5971,9.17096346478279,0.483099327397907,0.124912735884524,0.00106352922066494,0.0909228856233465
54898,9.64667049738389,-0.636691409206499,0.164750308039879,0.00106955656379147,0.0910587617256155
91526,7.9134306027209,-0.686008170479299,0.177631407521235,0.0010749883659878,0.0911430218732966
170680,8.02897324886095,0.59331112751771,0.153730175163311,0.00108031341912729,0.0912175750356121
386675,6.51167528304074,0.493642163659151,0.128189542061186,0.00109842335636567,0.0913513984977468
106479535,7.37937593384724,0.602861228399775,0.156584182185543,0.00110013209330876,0.0913513984977468
359845,10.9293176789172,-0.682605828996243,0.177320011964989,0.00110121758362355,0.0913513984977468
84674,7.50832519991748,0.627831939634785,0.163146057550976,0.0011039803588843,0.0913513984977468
7298,10.8702564584207,-0.651799559869422,0.169401878948559,0.00110533122183343,0.0913513984977468
2582,9.97185940482845,-0.556765831941695,0.144857965472216,0.00111423009984207,0.0913513984977468
162394,10.460534233039,-0.5212549094634,0.135649669075251,0.00111612608203545,0.0913513984977468
3162,12.0748709349253,0.607534848416739,0.158129212295218,0.00111751637698287,0.0913513984977468
10893,9.6168368844321,-0.611043319104922,0.159581897752246,0.00114612690446819,0.0933183802614223
